date, pm25, pm10, o3, so2
2017/12/13, 19, 17, , 
2017/12/14, 15, 20, , 
2017/12/15, 24, 27, , 
2017/12/16, 18, 22, , 
2017/12/17, 20, 16, , 
2017/12/18, 16, 21, , 
2017/12/19, 21, 27, , 
2017/12/20, 29, 30, , 
2017/12/21, 34, 27, , 
2017/12/22, 19, 27, , 
2017/12/23, 27, 24, , 
2017/12/24, 25, 20, , 
2017/12/25, 26, 15, , 
2017/12/26, 15, 14, , 
2017/12/27, 12, 19, , 
2017/12/28, 21, 20, , 
2017/12/29, 17, 19, , 
2017/12/30, 21, 17, , 
2017/12/31, 20, 33, , 
2018/1/1, 27, 18, , 
2017/7/2, 91, 39, , 
2017/7/3, 92, 35, , 
2017/7/4, 67, 14, , 
2017/7/5, 61, 32, , 
2017/7/6, 80, 66, , 
2017/7/7, 116, 79, , 
2017/7/8, 154, 76, , 
2017/7/9, 164, 31, , 
2017/7/10, 81, 26, , 
2017/7/11, 59, 57, , 
2017/7/12, 110, 60, , 
2017/7/13, 148, 21, , 
2017/7/14, 51, 16, , 
2017/7/15, 49, 30, , 
2017/7/16, 53, 53, , 
2017/7/17, 145, 31, , 
2017/7/18, 87, 36, , 
2017/7/19, 95, 44, , 
2017/7/20, 99, 61, , 
2017/7/21, 120, 65, , 
2017/7/22, 150, 52, , 
2017/7/23, 112, 24, , 
2017/7/24, 47, 52, , 
2017/7/25, 122, 46, , 
2017/7/26, 105, 62, , 
2017/7/27, 116, 72, , 
2017/7/28, 161, 61, , 
2017/7/29, 141, 49, , 
2017/7/30, 104, 57, , 
2017/7/31, 135, 54, , 
2017/8/1, 142, 70, , 
2017/8/2, 120, 80, , 
2017/8/3, 169, 57, , 
2017/8/4, 124, 69, , 
2017/8/5, 148, 47, , 
2017/8/6, 113, 42, , 
2017/8/7, 62, 43, , 
2017/8/8, 127, 19, , 
2017/8/9, 48, 16, , 
2017/8/10, 47, 8, , 
2017/8/11, 34, 32, , 
2017/8/12, 35, 47, , 
2017/8/13, 112, 15, , 
2017/8/14, 41, 25, , 
2017/8/15, 33, 43, , 
2017/8/16, 88, 72, , 
2017/8/17, 76, 109, , 
2017/8/18, 169, 30, , 
2017/8/19, 100, 36, , 
2017/8/20, 75, 65, , 
2017/8/21, 135, 58, , 
2017/8/22, 114, 43, , 
2017/8/23, 83, 16, , 
2017/8/24, 37, 29, , 
2017/8/25, 40, 34, , 
2017/8/26, 62, 36, , 
2017/8/27, 79, 15, , 
2017/8/28, 52, 39, , 
2017/8/29, 47, 83, , 
2017/8/30, 155, 60, , 
2017/8/31, 96, 77, , 
2017/9/1, 153, 37, , 
2017/9/2, 66, 61, , 
2017/9/3, 97, 68, , 
2017/9/4, 158, 41, , 
2017/9/5, 87, 60, , 
2017/9/6, 99, , , 
2017/9/11, 148, 63, , 
2017/9/12, 123, 57, , 
2017/9/13, 77, 65, , 
2017/9/14, 124, 29, , 
2017/9/15, 62, 24, , 
2017/9/16, 42, 34, , 
2017/9/17, 54, 49, , 
2017/9/18, 77, 29, , 
2017/9/19, 57, 20, , 
2017/9/20, 48, 23, , 
2017/9/21, 53, 23, , 
2017/9/22, 41, 26, , 
2017/9/23, 42, 30, , 
2017/9/24, 50, 14, , 
2017/9/25, 59, 22, , 
2017/9/26, 50, 32, , 
2017/9/27, 47, 48, , 
2017/9/28, 53, 62, , 
2017/9/29, 68, 44, , 
2017/9/30, 62, 174, , 
2017/10/1, 35, 656, , 
2017/5/23, 93, 18, , 
2017/5/24, 128, , , 
2017/5/25, 143, , , 
2017/5/26, 151, , , 
2017/5/27, 179, , , 
2017/5/28, 134, , , 
2017/5/29, 186, , , 
2017/5/30, 192, , , 
2017/5/31, 159, , , 
2017/6/1, 148, , , 
2017/6/2, 142, , , 
2017/6/3, 110, , , 
2017/6/4, 81, , , 
2017/6/5, 64, , , 
2017/6/6, 102, , , 
2017/6/7, 145, , , 
2017/6/8, 153, 55, , 
2017/6/9, 155, 56, , 
2017/6/10, 157, 68, , 
2017/6/11, 93, 41, , 
2017/6/12, 59, 26, , 
2017/6/13, 100, 67, , 
2017/6/14, 155, 67, , 
2017/6/15, 123, 49, , 
2017/6/16, 70, 27, , 
2017/6/17, 34, 17, , 
2017/6/18, 25, 16, , 
2017/6/19, 123, 51, , 
2017/6/20, 100, 51, , 
2017/6/21, 170, 87, , 
2017/6/22, 119, 46, , 
2017/6/23, 48, 18, , 
2017/6/24, 55, 25, , 
2017/6/25, 86, 37, , 
2017/6/26, 41, 12, , 
2017/6/27, 22, 13, , 
2017/6/28, 55, 24, , 
2017/6/29, 88, 33, , 
2017/6/30, 88, 42, , 
2017/7/1, 138, 53, , 
2016/10/2, 35, , , 
2016/10/3, 48, , , 
2016/10/4, 44, , , 
2016/10/5, 42, , , 
2016/10/6, 35, , , 
2016/10/7, 37, , , 
2016/10/8, 36, , , 
2016/10/9, 48, , , 
2016/10/10, 44, , , 
2016/10/11, 44, , , 
2016/10/12, 42, , , 
2016/10/13, 39, , , 
2016/10/14, 30, , , 
2016/10/15, 32, , , 
2016/10/16, 39, , , 
2016/10/17, 29, , , 
2016/10/18, 41, , , 
2016/10/19, 43, , , 
2016/10/20, 41, , , 
2016/10/21, 36, , , 
2016/10/22, 41, , , 
2016/10/23, 47, , , 
2016/10/24, 53, , , 
2016/10/25, 32, , , 
2016/10/26, 33, , , 
2016/10/27, 36, , , 
2016/10/28, 36, , , 
2016/10/29, 47, , , 
2016/10/30, 47, , , 
2016/10/31, 36, , , 
2016/11/1, 36, , , 
2016/11/2, 36, , , 
2016/11/3, 31, , , 
2016/11/4, 35, , , 
2016/11/5, 35, , , 
2016/11/6, 34, , , 
2016/11/7, 37, , , 
2016/11/8, 35, , , 
2016/11/9, 46, , , 
2016/11/10, 39, , , 
2016/11/11, 40, , , 
2016/11/12, 38, , , 
2016/11/13, 48, , , 
2016/11/14, 45, , , 
2016/11/15, 35, , , 
2016/11/16, 32, , , 
2016/11/17, 37, , , 
2016/11/18, 37, , , 
2016/11/19, 41, , , 
2016/11/20, 50, , , 
2016/11/21, 44, , , 
2016/11/22, 46, , , 
2016/11/23, 50, , , 
2016/11/24, 44, , , 
2016/11/25, 49, , , 
2016/11/26, 45, , , 
2016/11/27, 42, , , 
2016/11/28, 35, , , 
2016/11/29, 32, , , 
2016/11/30, 35, , , 
2016/12/1, 44, , , 
2016/12/2, 51, , , 
2016/12/3, 47, , , 
2016/12/4, 44, , , 
2016/12/5, 39, , , 
2016/12/6, 32, , , 
2016/12/7, 32, , , 
2016/12/8, 38, , , 
2016/12/9, 32, , , 
2016/12/10, 36, , , 
2016/7/2, 82, , , 
2016/7/3, 55, , , 
2016/7/4, 72, , , 
2016/7/5, 134, , , 
2016/7/6, 149, , , 
2016/7/7, 77, , , 
2016/7/8, 103, , , 
2016/7/9, 131, , , 
2016/7/10, 72, , , 
2016/7/11, 64, , , 
2016/7/12, 37, , , 
2016/7/13, 55, , , 
2016/7/14, 66, , , 
2016/7/15, 32, , , 
2016/7/16, 109, , , 
2016/7/17, 134, , , 
2016/7/18, 127, , , 
2016/7/19, 55, , , 
2016/7/20, 117, , , 
2016/7/21, 58, , , 
2016/7/22, 62, , , 
2016/7/23, 57, , , 
2016/7/24, 37, , , 
2016/7/25, 26, , , 
2016/7/26, 33, , , 
2016/7/27, 92, , , 
2016/7/28, 76, , , 
2016/7/29, 104, , , 
2016/7/30, 59, , , 
2016/7/31, 72, , , 
2016/8/1, 78, , , 
2016/8/2, 69, , , 
2016/8/3, 70, , , 
2016/8/4, 80, , , 
2016/8/5, 73, , , 
2016/8/6, 119, , , 
2016/8/7, 128, , , 
2016/8/8, 78, , , 
2016/8/9, 63, , , 
2016/8/10, 59, , , 
2016/8/11, 62, , , 
2016/8/12, 67, , , 
2016/9/8, 81, , , 
2016/9/9, 84, , , 
2016/9/10, 61, , , 
2016/9/11, 51, , , 
2016/9/12, 51, , , 
2016/9/13, 43, , , 
2016/9/14, 44, , , 
2016/9/15, 34, , , 
2016/9/16, 56, , , 
2016/9/17, 62, , , 
2016/9/18, 53, , , 
2016/9/19, 47, , , 
2016/9/20, 47, , , 
2016/9/21, 52, , , 
2016/9/22, 50, , , 
2016/9/23, 49, , , 
2016/9/24, 52, , , 
2016/9/25, 60, , , 
2016/9/26, 57, , , 
2016/9/27, 57, , , 
2016/9/28, 61, , , 
2016/9/29, 54, , , 
2016/9/30, 49, , , 
2016/10/1, 37, , , 
2016/4/2, 31, 44, , 
2016/4/3, 60, 30, , 
2016/4/4, 74, 28, , 
