date, pm25, pm10, o3, no2, so2, co
2023/9/7, 27, 35, 18, 5, 2, 2
2023/9/8, 38, 43, 16, 6, 3, 1
2023/9/9, 52, 22, 17, 7, 3, 2
2023/9/10, 34, 29, 25, 9, 3, 2
2023/9/11, 45, 37, 21, 4, 2, 1
2023/9/12, 41, 60, 20, 4, 2, 1
2023/9/13, 59, 47, 19, 6, 2, 1
2023/9/14, 50, 41, 19, 7, 3, 1
2023/9/15, 47, 42, 14, 6, 3, 1
2023/9/16, 50, 15, 13, 6, 3, 1
2023/9/17, 24, 35, 20, 5, 2, 
2023/9/18, 45, 47, 17, 5, 2, 1
2023/9/19, 56, 44, 17, 8, 3, 2
2023/9/20, 57, 21, 18, 5, 2, 1
2023/9/21, 33, 20, 18, 9, 3, 1
2023/9/22, 34, 37, 18, 6, 3, 1
2023/9/23, 42, 27, 19, 4, 2, 1
2023/9/24, 29, 21, 20, 3, 2, 1
2023/9/25, 29, 17, 19, 7, 3, 1
2023/9/26, 29, 25, 21, 4, 2, 1
2023/9/27, 23, 46, 22, 5, 3, 1
2023/9/28, 54, 33, 21, 6, 3, 1
2023/9/29, 44, 38, 21, 6, 3, 1
2023/9/30, 51, 28, 21, 7, 3, 1
2023/10/1, 44, 27, 23, 4, 3, 1
2023/4/2, 67, 43, 21, 8, 17, 3
2023/4/3, 72, 39, 18, 5, 7, 2
2023/4/4, 62, 33, 17, 5, 4, 2
2023/4/5, 44, 33, 19, 6, 10, 2
2023/4/6, 52, 39, 13, 8, 10, 1
2023/4/7, 51, 19, 23, 5, 4, 1
2023/4/8, 27, 30, 21, 7, 7, 2
2023/4/9, 53, 26, 24, 7, 8, 2
2023/4/10, 57, 33, 19, 7, 23, 2
2023/4/11, 54, 13, 7, 7, 12, 1
2023/4/12, 28, 14, 11, 4, 5, 1
2023/4/13, 20, 18, 13, 4, 6, 1
2023/4/14, 24, 15, 16, 6, 5, 1
2023/4/15, 26, 36, 20, 7, 19, 2
2023/4/16, 60, 33, 18, 4, 3, 1
2023/4/17, 32, 47, 19, 5, 4, 1
