date, pm25, pm10, o3, no2, so2
2023/6/10, 82, 49, 7, 5, 3
2023/6/11, 117, 56, 1, 7, 1
2023/6/12, 118, 171, 5, 9, 5
2023/6/13, 168, 258, 8, 12, 3
2023/6/14, 212, 165, 8, 8, 4
2023/6/15, 263, 52, 5, 6, 1
2023/6/16, 110, 81, 6, 7, 3
2023/6/17, 121, 189, 7, 10, 5
2023/6/18, 249, 150, 7, 6, 3
2023/6/19, 214, 46, 12, 2, 1
2023/6/20, 105, 48, 9, 4, 1
2023/6/21, 113, 26, 20, 1, 1
2023/6/22, 61, 27, 17, 6, 1
2023/6/23, 63, 23, 15, 6, 1
2023/6/24, 44, 36, 16, 6, 
2023/6/25, 80, 39, 15, 4, 
2023/6/26, 78, 56, 17, 4, 1
2023/6/27, 94, 45, 22, 6, 11
2023/6/28, 99, 50, 12, 9, 1
2023/6/29, 108, 83, 8, 14, 2
2023/6/30, 157, 73, 9, 13, 1
2023/7/1, 147, 61, 9, 8, 1
2023/2/14, 16, 32, 10, 2, 1
2023/2/15, 24, 31, 6, 3, 3
2023/2/16, 22, 36, 11, 2, 2
2023/2/17, 43, 53, 9, 10, 1
2023/2/18, 64, 83, 22, 7, 1
2023/2/19, 99, 59, 13, 3, 2
2023/2/20, 102, 61, 17, 3, 1
2023/2/21, 94, 59, 10, 3, 1
2023/2/22, 81, 78, 20, 3, 1
2023/2/23, 121, 57, 9, 3, 1
2023/2/24, 82, 38, 10, 1, 1
2023/2/25, 42, 33, 11, 1, 1
2023/2/26, 43, 41, 11, 2, 2
2023/2/27, 51, 40, 12, 2, 3
2023/2/28, 46, 37, 11, 2, 4
2023/3/1, 48, 36, 10, 2, 2
2023/3/2, 58, 40, 11, 3, 1
2023/3/3, 37, 28, 12, 2, 2
2023/3/4, 35, 32, 15, 2, 2
2023/3/5, 34, 30, 8, 3, 3
2023/3/6, 38, 30, 14, 1, 6
2023/3/7, 33, 24, 4, 2, 1
2023/3/8, 31, 27, 6, 1, 1
2023/3/9, 28, 33, 4, 3, 1
2023/3/10, 45, 28, 9, 4, 3
2023/3/11, 49, 32, 10, 1, 1
2023/3/12, 29, 20, 5, 2, 1
2023/3/13, 37, 48, 9, 3, 1
2023/3/14, 44, 91, 12, 2, 2
2023/3/15, 36, 44, 12, 2, 1
2023/3/16, 26, 28, 7, 1, 
2023/3/17, 31, 34, 13, 3, 2
2023/3/18, 50, 34, 10, 4, 1
2023/3/19, 44, 30, 11, 3, 3
2023/3/20, 37, 37, 12, 4, 3
2023/3/21, 46, 44, 14, 4, 2
2023/3/22, 55, 43, 12, 6, 1
2023/3/23, 53, 50, 16, 8, 2
2023/3/24, 59, 45, 13, 9, 4
2023/3/25, 51, 38, 10, 6, 2
2023/3/26, 45, 53, 15, 5, 2
2023/3/27, 64, 47, 13, 6, 1
2023/3/28, 59, 21, 12, 5, 1
2023/3/29, 41, 29, 13, 5, 1
2023/3/30, 39, 34, 10, 8, 1
2023/3/31, 59, 44, 8, 10, 1
2023/4/1, 75, 38, 10, 8, 3
2023/10/13, , 31, 12, 4, 1
2023/10/23, , 34, 14, 4, 1
2023/2/13, , 36, 10, 1, 1
